transaction_id,account_id,merchant_id,timestamp,amount,currency,transaction_type,status
T0001,A001,M001,2025-03-01 08:15:00,34.8,EUR,Purchase,Completed
T0002,A003,M002,2025-04-01 10:42:00,4.2,EUR,Purchase,Completed
T0003,A005,M003,2025-05-01 19:10:00,18.99,EUR,Purchase,Completed
T0004,A006,M004,2025-06-01 21:35:00,249.9,EUR,Purchase,Completed
T0005,A008,M005,2025-08-01 12:05:00,62.4,EUR,Purchase,Completed
T0006,A009,M006,2025-09-01 16:28:00,89.0,EUR,Purchase,Completed
T0008,A012,M008,2025-11-01 09:20:00,320.0,EUR,Purchase,Completed
T0009,A013,M009,2025-12-01 14:12:00,74.5,EUR,Purchase,Completed
T0010,A014,M010,2025-01-13 20:05:00,13.0,EUR,Purchase,Completed
T0011,A015,M011,2025-01-15 11:33:00,96.75,EUR,Purchase,Completed
T0013,A002,M013,2025-01-18 22:17:00,54.99,EUR,Purchase,Completed
T0014,A004,M014,2025-01-19 15:40:00,12.6,USD,Purchase,Completed
T0015,A007,M015,2025-01-20 13:25:00,410.0,EUR,Purchase,Completed
T0016,A010,M001,2025-01-22 08:55:00,27.1,EUR,Purchase,Declined
T0017,A001,M002,2025-01-24 17:18:00,6.8,EUR,Purchase,Completed
T0019,A005,M006,2025-01-28 23:05:00,39.99,EUR,Purchase,Completed
T0020,A008,M003,2025-01-30 18:30:00,21.5,EUR,Purchase,Completed
T0021,A009,M001,2025-01-02 09:10:00,48.25,EUR,Purchase,Completed
T0022,A011,M002,2025-02-02 11:25:00,5.6,EUR,Purchase,Completed
T0023,A012,M005,2025-03-02 13:40:00,71.35,EUR,Purchase,Completed
T0024,A013,M008,2025-04-02 07:55:00,155.0,EUR,Purchase,Completed
T0025,A014,M011,2025-05-02 20:20:00,120.0,EUR,Purchase,Completed
T0026,A015,M012,2025-06-02 10:05:00,17.9,EUR,Purchase,Completed
T0027,A016,M013,2025-07-02 22:45:00,64.0,EUR,Purchase,Completed
T0029,A004,M004,2025-10-02 16:15:00,349.99,USD,Purchase,Completed
T0030,A006,M007,2025-11-02 19:05:00,82.5,EUR,Purchase,Completed
T0031,A007,M009,2025-02-13 12:00:00,58.75,EUR,Purchase,Completed
T0032,A001,M010,2025-02-14 21:10:00,15.5,EUR,Purchase,Completed
T0033,A003,M015,2025-02-15 08:35:00,540.0,EUR,Purchase,Completed
T0034,A005,M003,2025-02-16 17:50:00,24.99,EUR,Purchase,Completed
T0035,A008,M006,2025-02-18 23:20:00,110.0,EUR,Purchase,Declined
T0036,A009,M001,2025-02-20 09:45:00,33.6,EUR,Purchase,Completed
T0037,A011,M002,2025-02-21 15:15:00,7.4,EUR,Purchase,Completed
T0038,A012,M011,2025-02-23 18:25:00,145.9,EUR,Purchase,Completed
T0039,A013,M013,2025-02-25 20:40:00,59.99,EUR,Purchase,Completed
T0041,A015,M001,2025-01-03 08:20:00,41.75,EUR,Purchase,Completed
T0042,A016,M002,2025-02-03 10:35:00,3.9,EUR,Purchase,Completed
T0043,A002,M004,2025-03-03 19:55:00,899.0,EUR,Purchase,Completed
T0044,A004,M008,2025-05-03 06:45:00,275.0,USD,Purchase,Completed
T0046,A007,M014,2025-07-03 13:15:00,14.25,EUR,Purchase,Completed
T0047,A001,M003,2025-09-03 17:30:00,19.99,EUR,Purchase,Completed
T0048,A003,M006,2025-10-03 22:10:00,74.0,EUR,Purchase,Completed
T0049,A005,M007,2025-12-03 18:40:00,52.0,EUR,Purchase,Completed
T0050,A008,M009,2025-03-13 09:50:00,130.6,EUR,Purchase,Completed
T0052,A011,M011,2025-03-16 16:35:00,88.8,EUR,Purchase,Completed
T0053,A012,M015,2025-03-18 14:05:00,625.0,EUR,Purchase,Completed
T0055,A014,M013,2025-03-22 20:15:00,44.99,EUR,Purchase,Completed
T0056,A015,M001,2025-03-24 08:45:00,29.7,EUR,Purchase,Completed
T0057,A016,M002,2025-03-25 10:20:00,5.1,EUR,Purchase,Completed
T0058,A002,M011,2025-03-27 19:35:00,76.0,EUR,Purchase,Completed
T0059,A006,M004,2025-03-29 23:15:00,459.0,EUR,Purchase,Declined
T0060,A001,M003,2025-03-31 18:55:00,19.99,EUR,Refund,Completed
