transaction_id,account_id,merchant_id,timestamp,amount,currency,transaction_type,status,year,month,month_name,weekday,hour,absolute_amount,transaction_sign,signed_amount,net_amount,transaction_direction,is_weekend,time_period,amount_band,amount_quartile,commission_rate,commission_amount
T0001,A001,M001,2025-03-01 08:15:00,34.8,EUR,Purchase,Completed,2025,3,March,Saturday,8,34.8,1,34.8,34.8,Outflow,True,Morning,Small,Q2,0.015,0.52
T0002,A003,M002,2025-04-01 10:42:00,4.2,EUR,Purchase,Completed,2025,4,April,Tuesday,10,4.2,1,4.2,4.2,Outflow,False,Morning,Very small,Q1,0.015,0.06
T0003,A005,M003,2025-05-01 19:10:00,18.99,EUR,Purchase,Completed,2025,5,May,Thursday,19,18.99,1,18.99,18.99,Outflow,False,Evening,Very small,Q1,0.015,0.28
T0004,A006,M004,2025-06-01 21:35:00,249.9,EUR,Purchase,Completed,2025,6,June,Sunday,21,249.9,1,249.9,249.9,Outflow,True,Evening,Medium,Q4,0.015,3.75
T0005,A008,M005,2025-08-01 12:05:00,62.4,EUR,Purchase,Completed,2025,8,August,Friday,12,62.4,1,62.4,62.4,Outflow,False,Afternoon,Small,Q3,0.015,0.94
T0006,A009,M006,2025-09-01 16:28:00,89.0,EUR,Purchase,Completed,2025,9,September,Monday,16,89.0,1,89.0,89.0,Outflow,False,Afternoon,Small,Q3,0.015,1.34
T0008,A012,M008,2025-11-01 09:20:00,320.0,EUR,Purchase,Completed,2025,11,November,Saturday,9,320.0,1,320.0,320.0,Outflow,True,Morning,Large,Q4,0.015,4.8
T0009,A013,M009,2025-12-01 14:12:00,74.5,EUR,Purchase,Completed,2025,12,December,Monday,14,74.5,1,74.5,74.5,Outflow,False,Afternoon,Small,Q3,0.015,1.12
T0010,A014,M010,2025-01-13 20:05:00,13.0,EUR,Purchase,Completed,2025,1,January,Monday,20,13.0,1,13.0,13.0,Outflow,False,Evening,Very small,Q1,0.015,0.2
T0011,A015,M011,2025-01-15 11:33:00,96.75,EUR,Purchase,Completed,2025,1,January,Wednesday,11,96.75,1,96.75,96.75,Outflow,False,Morning,Small,Q3,0.015,1.45
T0013,A002,M013,2025-01-18 22:17:00,54.99,EUR,Purchase,Completed,2025,1,January,Saturday,22,54.99,1,54.99,54.99,Outflow,True,Evening,Small,Q2,0.015,0.82
T0014,A004,M014,2025-01-19 15:40:00,12.6,USD,Purchase,Completed,2025,1,January,Sunday,15,12.6,1,12.6,12.6,Outflow,True,Afternoon,Very small,Q1,0.015,0.19
T0015,A007,M015,2025-01-20 13:25:00,410.0,EUR,Purchase,Completed,2025,1,January,Monday,13,410.0,1,410.0,410.0,Outflow,False,Afternoon,Large,Q4,0.015,6.15
T0016,A010,M001,2025-01-22 08:55:00,27.1,EUR,Purchase,Declined,2025,1,January,Wednesday,8,27.1,1,27.1,0.0,Outflow,False,Morning,Small,Q2,0.0,0.0
T0017,A001,M002,2025-01-24 17:18:00,6.8,EUR,Purchase,Completed,2025,1,January,Friday,17,6.8,1,6.8,6.8,Outflow,False,Afternoon,Very small,Q1,0.015,0.1
T0019,A005,M006,2025-01-28 23:05:00,39.99,EUR,Purchase,Completed,2025,1,January,Tuesday,23,39.99,1,39.99,39.99,Outflow,False,Evening,Small,Q2,0.015,0.6
