customer_id,month,transaction_count,total_amount,total_effective_amount,average_amount,injected_anomalies,transaction_count_change,effective_amount_change
C00001,2025-01-01,4,191.53,191.53,47.8825,0,,
C00001,2025-02-01,4,108.54,108.54,27.135,0,0.0,-82.99
C00001,2025-03-01,2,41.12,-12.92,20.56,0,-2.0,-121.46000000000001
C00001,2025-04-01,2,41.22,41.22,20.61,0,0.0,54.14
C00001,2025-05-01,1,19.23,19.23,19.23,0,-1.0,-21.99
C00001,2025-06-01,3,153.45,153.45,51.15,0,2.0,134.22
C00001,2025-07-01,1,76.71,76.71,76.71,0,-2.0,-76.74
C00001,2025-08-01,2,93.63,93.63,46.815,0,1.0,16.92
C00001,2025-09-01,1,50.53,-50.53,50.53,0,-1.0,-144.16
C00001,2025-10-01,1,23.5,23.5,23.5,0,0.0,74.03
C00001,2025-11-01,3,83.91,83.91,27.97,0,2.0,60.41
C00001,2025-12-01,2,124.19,124.19,62.095,0,-1.0,40.28
C00002,2025-01-01,2,17.53,17.53,8.765,0,,
C00002,2025-02-01,0,0.0,0.0,,0,-2.0,-17.53
C00002,2025-03-01,0,0.0,0.0,,0,0.0,0.0
C00002,2025-04-01,2,136.97,112.59,68.485,0,2.0,112.59
C00002,2025-05-01,1,48.14,48.14,48.14,0,-1.0,-64.45
C00002,2025-06-01,0,0.0,0.0,,0,-1.0,-48.14
C00002,2025-07-01,1,66.44,66.44,66.44,0,1.0,66.44
C00002,2025-08-01,1,93.75,93.75,93.75,0,0.0,27.310000000000002
C00002,2025-09-01,0,0.0,0.0,,0,-1.0,-93.75
C00002,2025-10-01,1,51.28,51.28,51.28,0,1.0,51.28
C00002,2025-11-01,1,8.29,8.29,8.29,0,0.0,-42.99
C00002,2025-12-01,2,52.68,52.68,26.34,0,1.0,44.39
C00003,2025-01-01,3,514.52,514.52,171.50666666666666,0,,
C00003,2025-02-01,4,708.12,708.12,177.03,0,1.0,193.60000000000002
C00003,2025-03-01,9,3031.0600000000004,2540.1800000000003,336.7844444444445,0,5.0,1832.0600000000004
C00003,2025-04-01,7,1163.58,1163.58,166.22571428571428,0,-2.0,-1376.6000000000004
C00003,2025-05-01,7,1188.71,1188.71,169.81571428571428,0,0.0,25.13000000000011
C00003,2025-06-01,3,285.09,285.09,95.02999999999999,0,-4.0,-903.6200000000001
C00003,2025-07-01,7,1217.26,1217.26,173.8942857142857,0,4.0,932.1700000000001
C00003,2025-08-01,1,64.01,64.01,64.01,0,-6.0,-1153.25
C00003,2025-09-01,4,400.45000000000005,400.45000000000005,100.11250000000001,0,3.0,336.44000000000005
C00003,2025-10-01,2,334.06,334.06,167.03,0,-2.0,-66.39000000000004
C00003,2025-11-01,2,203.93,203.93,101.965,0,0.0,-130.13
C00003,2025-12-01,4,205.79999999999998,205.79999999999998,51.449999999999996,0,2.0,1.8699999999999761
C00004,2025-01-01,2,251.37,251.37,125.685,0,,
C00004,2025-02-01,0,0.0,0.0,,0,-2.0,-251.37
C00004,2025-03-01,1,151.42,151.42,151.42,0,1.0,151.42
C00004,2025-04-01,0,0.0,0.0,,0,-1.0,-151.42
C00004,2025-05-01,0,0.0,0.0,,0,0.0,0.0
C00004,2025-06-01,0,0.0,0.0,,0,0.0,0.0
C00004,2025-07-01,1,64.55,64.55,64.55,0,1.0,64.55
C00004,2025-08-01,1,51.25,51.25,51.25,0,0.0,-13.299999999999997
C00004,2025-09-01,0,0.0,0.0,,0,-1.0,-51.25
C00004,2025-10-01,0,0.0,0.0,,0,0.0,0.0
C00004,2025-11-01,1,142.21,142.21,142.21,0,1.0,142.21
C00005,2025-03-01,1,58.02,58.02,58.02,0,,
C00005,2025-04-01,1,35.36,35.36,35.36,0,0.0,-22.660000000000004
C00005,2025-05-01,0,0.0,0.0,,0,-1.0,-35.36
C00005,2025-06-01,0,0.0,0.0,,0,0.0,0.0
C00005,2025-07-01,0,0.0,0.0,,0,0.0,0.0
C00005,2025-08-01,0,0.0,0.0,,0,0.0,0.0
C00005,2025-09-01,0,0.0,0.0,,0,0.0,0.0
C00005,2025-10-01,1,14.52,14.52,14.52,0,1.0,14.52
C00005,2025-11-01,1,57.13,57.13,57.13,0,0.0,42.61
C00006,2025-01-01,1,56.15,56.15,56.15,0,,
C00006,2025-02-01,4,650.25,650.25,162.5625,0,3.0,594.1
C00006,2025-03-01,1,147.35,-147.35,147.35,0,-3.0,-797.6
C00006,2025-04-01,1,46.02,46.02,46.02,0,0.0,193.37
C00006,2025-05-01,2,278.0,278.0,139.0,0,1.0,231.98
C00006,2025-06-01,0,0.0,0.0,,0,-2.0,-278.0
C00006,2025-07-01,2,351.27,351.27,175.635,0,2.0,351.27
C00006,2025-08-01,0,0.0,0.0,,0,-2.0,-351.27
C00006,2025-09-01,0,0.0,0.0,,0,0.0,0.0
C00006,2025-10-01,0,0.0,0.0,,0,0.0,0.0
C00006,2025-11-01,0,0.0,0.0,,0,0.0,0.0
C00006,2025-12-01,2,110.83000000000001,110.83000000000001,55.415000000000006,0,2.0,110.83000000000001
C00007,2025-02-01,1,76.31,76.31,76.31,0,,
C00007,2025-03-01,4,375.37,375.37,93.8425,0,3.0,299.06
C00007,2025-04-01,0,0.0,0.0,,0,-4.0,-375.37
C00007,2025-05-01,0,0.0,0.0,,0,0.0,0.0
C00007,2025-06-01,1,212.13,212.13,212.13,0,1.0,212.13
C00007,2025-07-01,1,15.26,15.26,15.26,0,0.0,-196.87
C00007,2025-08-01,1,55.4,55.4,55.4,0,0.0,40.14
C00007,2025-09-01,1,32.52,32.52,32.52,0,0.0,-22.879999999999995
C00008,2025-01-01,1,31.27,31.27,31.27,0,,
C00008,2025-02-01,2,52.54,52.54,26.27,0,1.0,21.27
C00008,2025-03-01,0,0.0,0.0,,0,-2.0,-52.54
C00008,2025-04-01,2,134.38,134.38,67.19,0,2.0,134.38
C00008,2025-05-01,0,0.0,0.0,,0,-2.0,-134.38
C00008,2025-06-01,1,19.16,19.16,19.16,0,1.0,19.16
C00008,2025-07-01,2,179.45,179.45,89.725,0,1.0,160.29
C00008,2025-08-01,1,17.94,17.94,17.94,0,-1.0,-161.51
C00008,2025-09-01,0,0.0,0.0,,0,-1.0,-17.94
C00008,2025-10-01,2,152.02,152.02,76.01,0,2.0,152.02
C00009,2025-01-01,1,45.63,45.63,45.63,0,,
C00009,2025-02-01,0,0.0,0.0,,0,-1.0,-45.63
C00009,2025-03-01,0,0.0,0.0,,0,0.0,0.0
C00009,2025-04-01,0,0.0,0.0,,0,0.0,0.0
C00009,2025-05-01,2,34.82,34.82,17.41,0,2.0,34.82
C00009,2025-06-01,0,0.0,0.0,,0,-2.0,-34.82
C00009,2025-07-01,1,43.29,43.29,43.29,0,1.0,43.29
C00010,2025-03-01,1,7.89,-7.89,7.89,0,,
C00010,2025-04-01,0,0.0,0.0,,0,-1.0,7.89
C00010,2025-05-01,2,12.07,1.4900000000000002,6.035,0,2.0,1.4900000000000002
C00010,2025-06-01,3,53.08,53.08,17.69333333333333,0,1.0,51.589999999999996
C00010,2025-07-01,0,0.0,0.0,,0,-3.0,-53.08
C00010,2025-08-01,0,0.0,0.0,,0,0.0,0.0
C00010,2025-09-01,0,0.0,0.0,,0,0.0,0.0
C00010,2025-10-01,1,7.76,7.76,7.76,0,1.0,7.76
C00010,2025-11-01,1,10.22,10.22,10.22,0,0.0,2.460000000000001
C00011,2025-01-01,1,37.59,37.59,37.59,0,,
C00011,2025-02-01,1,39.57,-39.57,39.57,0,0.0,-77.16
C00011,2025-03-01,1,13.61,13.61,13.61,0,0.0,53.18
C00011,2025-04-01,1,177.93,177.93,177.93,0,0.0,164.32
C00011,2025-05-01,1,36.24,36.24,36.24,0,0.0,-141.69
C00011,2025-06-01,0,0.0,0.0,,0,-1.0,-36.24
C00011,2025-07-01,0,0.0,0.0,,0,0.0,0.0
C00011,2025-08-01,1,19.23,19.23,19.23,0,1.0,19.23
C00011,2025-09-01,1,81.33,81.33,81.33,0,0.0,62.099999999999994
C00011,2025-10-01,0,0.0,0.0,,0,-1.0,-81.33
C00011,2025-11-01,0,0.0,0.0,,0,0.0,0.0
C00011,2025-12-01,1,47.77,47.77,47.77,0,1.0,47.77
C00012,2025-02-01,1,112.13,112.13,112.13,0,,
C00012,2025-03-01,0,0.0,0.0,,0,-1.0,-112.13
C00012,2025-04-01,0,0.0,0.0,,0,0.0,0.0
C00012,2025-05-01,0,0.0,0.0,,0,0.0,0.0
C00012,2025-06-01,0,0.0,0.0,,0,0.0,0.0
C00012,2025-07-01,0,0.0,0.0,,0,0.0,0.0
C00012,2025-08-01,1,48.79,48.79,48.79,0,1.0,48.79
C00012,2025-09-01,0,0.0,0.0,,0,-1.0,-48.79
C00012,2025-10-01,0,0.0,0.0,,0,0.0,0.0
C00012,2025-11-01,0,0.0,0.0,,0,0.0,0.0
C00012,2025-12-01,1,17.31,17.31,17.31,0,1.0,17.31
C00013,2025-01-01,1,27.01,0.0,27.01,0,,
C00013,2025-02-01,2,198.57999999999998,198.57999999999998,99.28999999999999,0,1.0,198.57999999999998
C00013,2025-03-01,1,31.08,31.08,31.08,0,-1.0,-167.5
C00013,2025-04-01,1,86.06,0.0,86.06,0,0.0,-31.08
C00013,2025-05-01,0,0.0,0.0,,0,-1.0,0.0
C00013,2025-06-01,0,0.0,0.0,,0,0.0,0.0
C00013,2025-07-01,1,43.99,43.99,43.99,0,1.0,43.99
C00013,2025-08-01,0,0.0,0.0,,0,-1.0,-43.99
C00013,2025-09-01,0,0.0,0.0,,0,0.0,0.0
C00013,2025-10-01,1,33.56,33.56,33.56,0,1.0,33.56
C00013,2025-11-01,1,101.58,101.58,101.58,0,0.0,68.02
C00014,2025-02-01,1,19.63,19.63,19.63,0,,
C00014,2025-03-01,2,143.62,143.62,71.81,0,1.0,123.99000000000001
C00014,2025-04-01,0,0.0,0.0,,0,-2.0,-143.62
C00014,2025-05-01,0,0.0,0.0,,0,0.0,0.0
C00014,2025-06-01,0,0.0,0.0,,0,0.0,0.0
C00014,2025-07-01,1,64.08,64.08,64.08,0,1.0,64.08
C00014,2025-08-01,1,111.61,111.61,111.61,0,0.0,47.53
C00014,2025-09-01,1,47.7,47.7,47.7,0,0.0,-63.91
C00014,2025-10-01,1,106.88,106.88,106.88,0,0.0,59.17999999999999
C00014,2025-11-01,2,245.60000000000002,245.60000000000002,122.80000000000001,0,1.0,138.72000000000003
C00015,2025-01-01,5,202.36,202.36,40.472,0,,
C00015,2025-02-01,1,50.38,50.38,50.38,0,-4.0,-151.98000000000002
C00015,2025-03-01,1,36.32,36.32,36.32,0,0.0,-14.060000000000002
C00015,2025-04-01,0,0.0,0.0,,0,-1.0,-36.32
C00015,2025-05-01,1,46.6,46.6,46.6,0,1.0,46.6
C00015,2025-06-01,3,341.86,286.48,113.95333333333333,0,2.0,239.88000000000002
C00015,2025-07-01,0,0.0,0.0,,0,-3.0,-286.48
C00015,2025-08-01,2,157.55,157.55,78.775,0,2.0,157.55
C00015,2025-09-01,3,222.42000000000002,222.42000000000002,74.14,0,1.0,64.87
C00015,2025-10-01,2,106.35,106.35,53.175,0,-1.0,-116.07000000000002
C00015,2025-11-01,2,102.35,102.35,51.175,0,0.0,-4.0
C00015,2025-12-01,1,100.09,100.09,100.09,0,-1.0,-2.259999999999991
C00016,2025-02-01,1,18.7,18.7,18.7,0,,
C00016,2025-03-01,0,0.0,0.0,,0,-1.0,-18.7
C00016,2025-04-01,0,0.0,0.0,,0,0.0,0.0
C00016,2025-05-01,0,0.0,0.0,,0,0.0,0.0
C00016,2025-06-01,0,0.0,0.0,,0,0.0,0.0
C00016,2025-07-01,0,0.0,0.0,,0,0.0,0.0
C00016,2025-08-01,1,39.0,39.0,39.0,0,1.0,39.0
C00016,2025-09-01,0,0.0,0.0,,0,-1.0,-39.0
C00016,2025-10-01,0,0.0,0.0,,0,0.0,0.0
C00016,2025-11-01,0,0.0,0.0,,0,0.0,0.0
