transaction_id,account_id,merchant_id,timestamp,amount,currency,transaction_type,status,is_injected_anomaly,anomaly_type,customer_id,customer_country,customer_segment,typical_amount,preferred_hour,international_probability,merchant_category,country,online,signed_amount,effective_amount,customer_transaction_number,previous_timestamp,previous_amount,previous_merchant_category,time_since_previous_transaction,hours_since_previous_transaction,days_since_previous_transaction,transactions_previous_7d,average_amount_previous_30d,average_amount_previous_90d,amount_ratio_to_previous_30d,average_amount_all_previous
T0000715,A00001,M00060,2025-01-10 13:13:00,30.51,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Entertainment,Italy,True,30.51,30.51,1,,,,,,,0,,,,
T0000201,A00001,M00017,2025-01-20 12:41:00,27.45,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Books,Spain,True,27.45,27.45,2,2025-01-10 13:13:00,30.51,Entertainment,9 days 23:28:00,239.46666666666667,9.977777777777778,0,30.51,30.51,0.8997050147492625,30.51
T0000850,A00001,M00057,2025-01-23 09:41:00,105.28,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Entertainment,Spain,True,105.28,105.28,3,2025-01-20 12:41:00,27.45,Books,2 days 21:00:00,69.0,2.875,1,28.98,28.98,3.632850241545894,28.98
T0000193,A00001,M00001,2025-01-29 10:54:00,28.29,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Groceries,Spain,False,28.29,28.29,4,2025-01-23 09:41:00,105.28,Entertainment,6 days 01:13:00,145.21666666666667,6.050694444444445,1,54.413333333333334,54.413333333333334,0.5199093359470718,54.413333333333334
T0000803,A00001,M00001,2025-02-10 09:47:00,24.6,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Groceries,Spain,False,24.6,24.6,5,2025-01-29 10:54:00,28.29,Groceries,11 days 22:53:00,286.8833333333333,11.953472222222222,0,53.67333333333334,47.8825,0.4583281579927959,47.8825
T0000818,A00001,M00001,2025-02-13 09:03:00,56.49,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Groceries,Spain,False,56.49,56.49,6,2025-02-10 09:47:00,24.6,Groceries,2 days 23:16:00,71.26666666666667,2.9694444444444446,1,46.405,43.226,1.2173257192112918,43.226
T0000737,A00001,M00017,2025-02-16 08:34:00,15.14,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Books,Spain,True,15.14,15.14,7,2025-02-13 09:03:00,56.49,Groceries,2 days 23:31:00,71.51666666666667,2.979861111111111,2,48.422000000000004,45.43666666666667,0.3126677956300855,45.43666666666667
T0000396,A00001,M00017,2025-02-27 08:44:00,12.31,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Books,Spain,True,12.31,12.31,8,2025-02-16 08:34:00,15.14,Books,11 days 00:10:00,264.1666666666667,11.006944444444445,0,31.130000000000003,41.10857142857143,0.39543848377770635,41.10857142857143
T0000279,A00001,M00057,2025-03-11 10:45:00,27.02,EUR,Refund,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Entertainment,Spain,True,-27.02,-27.02,9,2025-02-27 08:44:00,12.31,Books,12 days 02:01:00,290.01666666666665,12.084027777777777,0,27.135,37.50875,0.9957619310853141,37.50875
T0000536,A00001,M00009,2025-03-27 14:59:00,14.1,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Restaurants,Spain,False,14.1,14.1,10,2025-03-11 10:45:00,27.02,Entertainment,16 days 04:14:00,388.23333333333335,16.17638888888889,0,19.665,36.343333333333334,0.7170099160945843,36.343333333333334
T0000006,A00001,M00034,2025-04-01 09:27:00,24.28,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Sports,France,False,24.28,24.28,11,2025-03-27 14:59:00,14.1,Restaurants,4 days 18:28:00,114.46666666666667,4.769444444444445,1,20.56,34.119,1.1809338521400778,34.119
T0000953,A00001,M00077,2025-04-05 09:20:00,16.94,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Health,Portugal,False,16.94,16.94,12,2025-04-01 09:27:00,24.28,Sports,3 days 23:53:00,95.88333333333334,3.995138888888889,1,21.8,33.224545454545456,0.7770642201834863,33.224545454545456
T0000819,A00001,M00073,2025-05-27 13:59:00,19.23,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Health,Spain,False,19.23,19.23,13,2025-04-05 09:20:00,16.94,Health,52 days 04:39:00,1252.65,52.19375,0,,18.93,,31.867500000000003
T0000901,A00001,M00073,2025-06-10 08:02:00,20.93,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Health,Spain,False,20.93,20.93,14,2025-05-27 13:59:00,19.23,Health,13 days 18:03:00,330.05,13.752083333333333,0,19.23,18.637500000000003,1.0884035361414457,30.895384615384614
T0000556,A00001,M00001,2025-06-14 10:40:00,41.79,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Groceries,Spain,False,41.79,41.79,15,2025-06-10 08:02:00,20.93,Health,4 days 02:38:00,98.63333333333334,4.1097222222222225,1,20.08,19.096,2.081175298804781,30.18357142857143
T0000567,A00001,M00049,2025-06-24 11:35:00,90.73,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Home,Spain,True,90.73,90.73,16,2025-06-14 10:40:00,41.79,Groceries,10 days 00:55:00,240.91666666666666,10.038194444444445,0,27.316666666666666,22.878333333333334,3.3214154972544234,30.957333333333334
T0000205,A00001,M00033,2025-07-22 10:41:00,76.71,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Sports,Spain,False,76.71,76.71,17,2025-06-24 11:35:00,90.73,Home,27 days 23:06:00,671.1,27.962500000000002,0,90.73,43.17,0.8454755869062052,34.693125
T0000648,A00001,M00080,2025-08-26 13:49:00,20.0,USD,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Health,United States,False,20.0,20.0,18,2025-07-22 10:41:00,76.71,Sports,35 days 03:08:00,843.1333333333333,35.13055555555555,0,,57.54,,37.16470588235294
T0000277,A00001,M00061,2025-08-31 11:30:00,73.63,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Entertainment,Portugal,True,73.63,73.63,19,2025-08-26 13:49:00,20.0,Health,4 days 21:41:00,117.68333333333334,4.903472222222223,1,20.0,50.032,3.6814999999999998,36.21111111111111
T0000780,A00001,M00025,2025-09-30 11:54:00,50.53,EUR,Refund,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Electronics,Spain,True,-50.53,-50.53,20,2025-08-31 11:30:00,73.63,Entertainment,30 days 00:24:00,720.4,30.016666666666666,0,,56.779999999999994,,38.18052631578948
T0000622,A00001,M00016,2025-10-18 17:23:00,23.5,USD,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Restaurants,United States,False,23.5,23.5,21,2025-09-30 11:54:00,50.53,Electronics,18 days 05:29:00,437.48333333333335,18.228472222222223,0,50.53,55.217499999999994,0.4650702552938848,38.798
T0000738,A00001,M00017,2025-11-07 04:24:00,27.29,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Books,Spain,True,27.29,27.29,22,2025-10-18 17:23:00,23.5,Restaurants,19 days 11:01:00,467.01666666666665,19.459027777777777,0,23.5,41.91499999999999,1.161276595744681,38.06952380952381
T0000959,A00001,M00073,2025-11-17 16:49:00,36.69,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Health,Spain,False,36.69,36.69,23,2025-11-07 04:24:00,27.29,Books,10 days 12:25:00,252.41666666666666,10.51736111111111,0,25.395,38.989999999999995,1.444772593030124,37.57954545454545
T0000705,A00001,M00057,2025-11-18 17:21:00,19.93,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Entertainment,Spain,True,19.93,19.93,24,2025-11-17 16:49:00,36.69,Health,1 days 00:32:00,24.533333333333335,1.0222222222222224,1,31.99,38.60666666666666,0.6230071897467959,37.54086956521739
T0000681,A00001,M00057,2025-12-13 12:08:00,74.55,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Entertainment,Spain,True,74.55,74.55,25,2025-11-18 17:21:00,19.93,Entertainment,24 days 18:47:00,594.7833333333333,24.782638888888886,0,28.31,31.588,2.6333451077357823,36.80708333333333
T0000099,A00001,M00073,2025-12-28 11:19:00,49.64,EUR,Purchase,Completed,False,none,C00001,Spain,Student,51.68,10,0.321,Health,Spain,False,49.64,49.64,26,2025-12-13 12:08:00,74.55,Entertainment,14 days 23:11:00,359.18333333333334,14.965972222222222,0,74.55,38.748333333333335,0.6658618376928236,38.3168
T0000224,A00002,M00018,2025-01-18 17:11:00,12.6,EUR,Purchase,Completed,False,none,C00002,United Kingdom,Student,18.65,19,0.403,Books,France,True,12.6,12.6,1,,,,,,,0,,,,
T0000830,A00002,M00015,2025-01-25 16:12:00,4.93,GBP,Purchase,Completed,False,none,C00002,United Kingdom,Student,18.65,19,0.403,Restaurants,United Kingdom,False,4.93,4.93,2,2025-01-18 17:11:00,12.6,Books,6 days 23:01:00,167.01666666666668,6.959027777777778,1,12.6,12.6,0.39126984126984127,12.6
T0000657,A00002,M00047,2025-04-16 18:51:00,112.59,GBP,Purchase,Completed,False,none,C00002,United Kingdom,Student,18.65,19,0.403,Travel,United Kingdom,True,112.59,112.59,3,2025-01-25 16:12:00,4.93,Restaurants,81 days 02:39:00,1946.65,81.11041666666667,0,,8.765,,8.765
T0000042,A00003,M00055,2025-04-21 19:55:00,24.38,GBP,Purchase,Declined,False,none,C00002,United Kingdom,Student,18.65,19,0.403,Home,United Kingdom,True,24.38,0.0,4,2025-04-16 18:51:00,112.59,Travel,5 days 01:04:00,121.06666666666666,5.044444444444444,1,112.59,58.760000000000005,0.2165378808064659,43.373333333333335
T0000475,A00002,M00055,2025-05-01 13:31:00,48.14,GBP,Purchase,Completed,False,none,C00002,United Kingdom,Student,18.65,19,0.403,Home,United Kingdom,True,48.14,48.14,5,2025-04-21 19:55:00,24.38,Home,9 days 17:36:00,233.6,9.733333333333333,0,68.485,68.485,0.7029276483901584,38.625
T0000632,A00002,M00029,2025-07-25 01:52:00,66.44,EUR,Purchase,Completed,False,none,C00002,United Kingdom,Student,18.65,19,0.403,Electronics,Portugal,True,66.44,66.44,6,2025-05-01 13:31:00,48.14,Home,84 days 12:21:00,2028.35,84.51458333333333,0,,48.14,,40.528
