account_id,customer_id,account_type,currency,opening_date,status
A00001,C00001,Student,EUR,2023-09-25,Active
A00002,C00002,Student,GBP,2020-07-30,Active
A00003,C00002,Savings,GBP,2020-06-03,Active
A00004,C00003,Current,EUR,2021-07-11,Active
A00005,C00003,Savings,EUR,2021-07-10,Active
A00006,C00004,Current,EUR,2023-05-18,Active
A00007,C00005,Current,EUR,2020-08-25,Active
A00008,C00006,Current,GBP,2024-02-03,Active
A00009,C00007,Current,EUR,2022-05-19,Active
A00010,C00008,Current,EUR,2019-06-21,Active
A00011,C00009,Student,EUR,2020-11-20,Active
A00012,C00010,Student,EUR,2023-03-03,Active
A00013,C00011,Current,EUR,2023-09-25,Active
A00014,C00012,Current,USD,2024-02-10,Active
A00015,C00013,Current,EUR,2024-03-23,Active
A00016,C00013,Savings,EUR,2024-04-01,Active
A00017,C00014,Current,GBP,2019-07-14,Active
A00018,C00014,Savings,GBP,2019-06-27,Active
A00019,C00015,Current,EUR,2022-11-21,Active
A00020,C00016,Current,GBP,2020-05-26,Active
A00021,C00017,Current,EUR,2019-11-03,Active
A00022,C00018,Current,EUR,2023-04-27,Active
A00023,C00019,Student,GBP,2022-01-13,Active
A00024,C00019,Savings,GBP,2021-12-09,Active
A00025,C00020,Current,EUR,2022-07-08,Active
A00026,C00021,Current,EUR,2023-08-06,Active
A00027,C00022,Current,EUR,2019-06-28,Active
A00028,C00023,Current,EUR,2022-02-25,Active
A00029,C00023,Savings,EUR,2021-11-30,Active
A00030,C00024,Current,USD,2023-06-17,Active
A00031,C00025,Student,GBP,2021-03-28,Active
A00032,C00026,Current,EUR,2022-05-31,Active
A00033,C00027,Current,EUR,2022-06-04,Active
A00034,C00028,Current,GBP,2024-01-11,Active
A00035,C00029,Current,EUR,2019-10-14,Active
A00036,C00030,Current,EUR,2024-04-23,Active
A00037,C00031,Current,EUR,2023-08-03,Active
A00038,C00032,Current,EUR,2023-09-06,Active
A00039,C00033,Current,EUR,2021-06-27,Active
A00040,C00034,Student,EUR,2022-02-02,Active
A00041,C00035,Student,USD,2021-05-13,Active
A00042,C00036,Student,EUR,2020-12-19,Active
A00043,C00037,Current,GBP,2023-12-23,Active
A00044,C00038,Current,GBP,2022-01-11,Active
A00045,C00039,Student,EUR,2022-09-09,Active
A00046,C00040,Current,EUR,2020-05-28,Active
A00047,C00041,Student,EUR,2023-10-30,Active
A00048,C00042,Current,GBP,2022-06-23,Active
A00049,C00043,Current,EUR,2024-04-11,Active
A00050,C00044,Current,EUR,2020-08-22,Active
A00051,C00045,Current,EUR,2022-01-07,Active
A00052,C00046,Current,USD,2022-05-13,Active
A00053,C00047,Current,EUR,2022-06-22,Active
A00054,C00048,Student,USD,2020-02-18,Active
A00055,C00049,Student,EUR,2021-05-18,Active
A00056,C00049,Savings,EUR,2021-11-05,Active
A00057,C00050,Current,GBP,2021-01-22,Active
A00058,C00051,Current,GBP,2022-12-02,Active
A00059,C00052,Current,EUR,2020-05-19,Active
A00060,C00052,Savings,EUR,2020-06-18,Active
A00061,C00053,Current,EUR,2021-05-08,Active
A00062,C00054,Current,EUR,2022-11-10,Active
A00063,C00055,Current,EUR,2020-04-25,Active
A00064,C00055,Savings,EUR,2019-06-17,Active
A00065,C00056,Current,EUR,2023-03-01,Active
A00066,C00057,Current,EUR,2022-11-19,Active
A00067,C00058,Current,EUR,2020-03-04,Active
A00068,C00059,Student,EUR,2019-10-08,Active
A00069,C00060,Current,EUR,2023-07-12,Active
A00070,C00061,Current,USD,2020-09-26,Active
A00071,C00062,Current,EUR,2023-11-24,Active
A00072,C00063,Current,EUR,2021-11-18,Active
A00073,C00063,Savings,EUR,2021-08-20,Active
A00074,C00064,Current,USD,2021-07-12,Active
A00075,C00065,Student,EUR,2020-10-15,Active
A00076,C00066,Current,EUR,2022-07-19,Active
A00077,C00067,Current,USD,2020-04-10,Active
A00078,C00068,Current,EUR,2021-10-03,Active
A00079,C00069,Current,EUR,2020-11-18,Active
A00080,C00070,Current,EUR,2019-11-04,Active
A00081,C00071,Current,GBP,2020-10-21,Active
A00082,C00072,Current,EUR,2022-05-28,Active
A00083,C00073,Student,EUR,2023-01-04,Active
A00084,C00074,Current,EUR,2020-03-22,Active
A00085,C00075,Student,EUR,2023-12-26,Active
A00086,C00076,Current,EUR,2023-10-16,Active
A00087,C00077,Current,EUR,2023-01-17,Active
A00088,C00078,Student,EUR,2024-05-03,Active
A00089,C00078,Savings,EUR,2024-01-06,Active
A00090,C00079,Student,EUR,2022-01-20,Active
A00091,C00080,Current,EUR,2024-01-02,Active
A00092,C00081,Student,USD,2023-06-08,Active
A00093,C00082,Current,EUR,2022-10-20,Active
A00094,C00083,Current,EUR,2020-04-14,Active
A00095,C00083,Savings,EUR,2020-01-04,Active
A00096,C00084,Current,GBP,2022-04-08,Active
A00097,C00085,Current,EUR,2024-03-31,Active
A00098,C00086,Student,EUR,2024-09-11,Active
A00099,C00087,Current,EUR,2021-08-16,Active
A00100,C00087,Savings,EUR,2021-07-12,Active
A00101,C00088,Current,EUR,2020-09-06,Active
A00102,C00088,Savings,EUR,2021-01-15,Active
A00103,C00089,Current,GBP,2022-10-18,Active
A00104,C00090,Student,GBP,2019-09-15,Active
A00105,C00091,Current,EUR,2019-12-25,Active
A00106,C00091,Savings,EUR,2020-07-23,Active
A00107,C00092,Current,GBP,2022-04-11,Active
A00108,C00092,Savings,GBP,2021-11-22,Active
A00109,C00093,Current,GBP,2024-03-17,Active
A00110,C00094,Current,EUR,2020-09-08,Active
A00111,C00094,Savings,EUR,2021-02-12,Active
A00112,C00095,Current,USD,2022-03-19,Active
A00113,C00096,Current,EUR,2021-03-06,Active
A00114,C00097,Current,EUR,2022-01-25,Active
A00115,C00097,Savings,EUR,2021-12-10,Active
A00116,C00098,Current,EUR,2019-12-01,Active
A00117,C00099,Current,EUR,2022-04-13,Active
A00118,C00099,Savings,EUR,2022-12-03,Active
A00119,C00100,Student,EUR,2022-03-21,Active
