customer_id,age,country,signup_date,customer_segment,typical_amount,preferred_hour,international_probability,activity_weight
C00001,26,Spain,2023-05-24,Student,51.68,10,0.321,0.026483
C00002,23,United Kingdom,2019-09-10,Student,18.65,19,0.403,0.009543
C00003,50,Ireland,2020-12-25,Premium,109.45,16,0.433,0.052133
C00004,30,Italy,2022-06-29,Standard,65.35,18,0.35,0.004717
C00005,23,Italy,2020-03-15,Standard,92.44,13,0.173,0.006435
C00006,47,United Kingdom,2023-11-13,Premium,93.76,17,0.435,0.016253
C00007,39,Spain,2022-03-31,Standard,56.43,18,0.207,0.010638
C00008,58,Ireland,2019-02-21,Standard,72.87,16,0.348,0.01109
C00009,23,France,2020-03-27,Student,27.87,16,0.221,0.003592
C00010,26,Spain,2022-09-13,Student,22.76,16,0.228,0.008252
C00011,35,Portugal,2023-04-25,Standard,58.03,12,0.174,0.004778
C00012,28,United States,2023-08-19,Standard,42.55,15,0.366,0.00241
C00013,30,Ireland,2023-04-03,Standard,56.53,15,0.287,0.005285
C00014,45,United Kingdom,2019-05-17,Premium,112.27,16,0.231,0.01064
C00015,61,Ireland,2022-08-24,Standard,63.59,18,0.159,0.014445
C00016,32,United Kingdom,2019-07-21,Standard,52.22,12,0.248,0.001156
C00017,48,Portugal,2019-05-20,Standard,67.51,15,0.23,0.008555
C00018,31,France,2022-06-16,Standard,77.29,19,0.272,0.007963
C00019,26,United Kingdom,2021-05-22,Student,25.99,13,0.12,0.010235
C00020,44,Italy,2022-03-28,Standard,65.52,13,0.315,0.003132
C00021,38,Portugal,2023-04-03,Standard,60.8,16,0.282,0.003193
C00022,40,Germany,2019-05-06,Standard,60.0,18,0.26,0.019929
C00023,45,France,2021-08-20,Premium,100.19,15,0.388,0.004176
C00024,44,United States,2023-03-03,Standard,64.94,19,0.143,0.006183
C00025,22,United Kingdom,2021-03-14,Student,24.4,18,0.179,0.006714
C00026,28,Ireland,2021-08-13,Standard,101.25,18,0.295,0.004858
C00027,27,Italy,2021-06-27,Standard,88.92,17,0.275,0.012253
C00028,42,United Kingdom,2023-07-14,Standard,66.08,22,0.219,0.011515
C00029,56,Portugal,2019-04-02,Standard,49.58,14,0.207,0.007687
C00030,54,Italy,2023-05-22,Premium,90.87,9,0.323,0.005107
C00031,39,Italy,2023-01-29,Standard,80.81,20,0.217,0.007215
C00032,43,France,2023-01-22,Standard,64.07,14,0.151,0.009113
C00033,65,Spain,2021-01-22,Premium,135.3,15,0.322,0.00452
C00034,24,Portugal,2021-07-30,Student,16.16,19,0.287,0.012912
C00035,22,United States,2020-11-04,Student,31.52,10,0.164,0.01707
C00036,26,Spain,2020-04-04,Student,28.01,11,0.123,0.022249
C00037,44,United Kingdom,2023-05-17,Standard,45.46,10,0.147,0.021346
C00038,55,United Kingdom,2021-07-12,Standard,53.33,13,0.251,0.00668
C00039,24,Germany,2022-08-13,Student,26.7,16,0.16,0.009459
C00040,28,Ireland,2019-07-03,Standard,60.79,17,0.248,0.007572
C00041,19,France,2022-12-10,Student,23.24,16,0.143,0.00755
C00042,57,United Kingdom,2022-04-17,Standard,58.47,11,0.154,0.007174
C00043,57,Ireland,2023-12-26,Standard,56.34,8,0.164,0.008677
C00044,38,Germany,2019-09-02,Standard,62.33,15,0.342,0.019013
C00045,36,Spain,2021-09-12,Standard,86.68,14,0.204,0.010878
C00046,55,United States,2021-07-21,Standard,31.58,16,0.306,0.002999
C00047,29,Italy,2021-09-09,Standard,56.55,17,0.155,0.016578
C00048,20,United States,2019-04-10,Student,26.13,15,0.181,0.010131
C00049,25,Ireland,2021-05-13,Student,26.92,17,0.174,0.012353
C00050,48,United Kingdom,2020-06-30,Premium,109.35,16,0.239,0.010721
C00051,52,United Kingdom,2022-01-31,Premium,77.35,17,0.304,0.011084
C00052,38,France,2020-02-28,Standard,65.13,13,0.16,0.01146
C00053,43,Germany,2021-03-04,Standard,92.41,14,0.347,0.001477
C00054,66,Italy,2022-02-05,Premium,81.78,16,0.442,0.012241
C00055,53,Italy,2019-04-27,Premium,148.93,17,0.577,0.004695
C00056,46,Spain,2022-12-06,Standard,55.27,14,0.182,0.005786
C00057,19,Portugal,2022-07-30,Standard,59.09,17,0.152,0.008624
C00058,40,France,2019-04-15,Standard,46.11,14,0.356,0.024598
C00059,20,Ireland,2019-04-29,Student,22.99,15,0.201,0.003517
C00060,40,Ireland,2023-04-01,Premium,166.09,17,0.351,0.008401
C00061,31,United States,2020-06-01,Standard,69.41,9,0.394,0.007036
C00062,37,Ireland,2023-04-20,Standard,92.52,11,0.343,0.016414
C00063,49,Germany,2021-06-30,Standard,80.54,11,0.241,0.00688
C00064,27,United States,2020-09-16,Standard,66.96,8,0.251,0.010217
C00065,23,Italy,2020-05-14,Student,38.66,13,0.125,0.003526
C00066,47,Germany,2022-04-17,Premium,133.92,17,0.26,0.018335
C00067,49,United States,2019-07-20,Premium,147.6,14,0.284,0.002203
C00068,50,Germany,2021-01-04,Standard,55.71,16,0.283,0.012122
C00069,45,Spain,2020-09-23,Standard,61.01,18,0.286,0.010265
C00070,53,Italy,2019-10-09,Standard,50.4,19,0.22,0.011391
C00071,38,United Kingdom,2020-10-05,Standard,76.84,15,0.133,0.002237
C00072,33,France,2021-08-22,Standard,44.69,19,0.321,0.006766
C00073,22,Italy,2022-05-21,Student,30.4,15,0.225,0.015868
C00074,42,France,2019-06-07,Standard,57.21,12,0.244,0.027061
C00075,24,Ireland,2023-05-12,Student,33.5,13,0.101,0.007923
C00076,29,Italy,2023-05-23,Standard,72.39,11,0.173,0.014849
C00077,41,Germany,2022-06-16,Standard,94.59,12,0.454,0.009541
C00078,24,France,2023-08-14,Student,30.01,14,0.245,0.008246
C00079,31,Portugal,2021-02-20,Student,16.88,17,0.451,0.00615
C00080,59,Ireland,2023-02-08,Standard,59.0,20,0.258,0.008657
C00081,20,United States,2022-08-20,Student,18.65,11,0.26,0.01394
C00082,49,Italy,2021-10-23,Premium,105.42,16,0.405,0.014748
C00083,25,France,2019-11-24,Standard,87.54,12,0.407,0.00273
C00084,34,United Kingdom,2021-10-14,Standard,70.37,16,0.288,0.005701
C00085,43,Ireland,2023-07-03,Standard,50.38,15,0.252,0.003362
C00086,27,Ireland,2023-12-02,Student,19.4,10,0.389,0.00899
C00087,45,Spain,2021-03-28,Premium,120.99,18,0.391,0.006574
C00088,33,Germany,2020-03-28,Standard,44.27,13,0.181,0.011116
C00089,31,United Kingdom,2022-09-26,Premium,101.46,13,0.237,0.011679
C00090,23,United Kingdom,2019-05-19,Student,27.03,12,0.352,0.000721
C00091,29,Italy,2019-10-03,Standard,80.09,13,0.235,0.008606
C00092,35,United Kingdom,2021-10-22,Standard,69.86,16,0.244,0.019267
C00093,43,United Kingdom,2023-12-13,Premium,67.67,14,0.322,0.005703
C00094,39,Italy,2020-08-23,Standard,64.74,16,0.207,0.005564
C00095,22,United States,2021-03-20,Standard,61.09,16,0.288,0.017056
C00096,25,Germany,2020-08-11,Standard,66.54,19,0.202,0.015226
C00097,61,France,2021-03-14,Standard,89.87,14,0.215,0.003694
C00098,27,Ireland,2019-01-13,Standard,35.82,11,0.333,0.014204
C00099,29,Ireland,2021-12-21,Standard,51.76,18,0.196,0.004475
C00100,29,France,2021-12-24,Student,28.98,14,0.295,0.005516
