transaction_id,account_id,merchant_id,timestamp,amount,currency,transaction_type,status,is_injected_anomaly,anomaly_type
T0000001,A00035,M00041,2025-02-27 16:45:00,257.7,EUR,Refund,Completed,False,none
T0000002,A00010,M00055,2025-02-25 12:45:00,38.9,GBP,Purchase,Completed,False,none
T0000003,A00055,M00062,2025-09-13 14:52:00,16.36,EUR,Purchase,Completed,False,none
T0000004,A00026,M00070,2025-07-06 08:05:00,26.03,EUR,Purchase,Completed,False,none
T0000005,A00110,M00060,2025-06-16 18:59:00,79.56,EUR,Purchase,Completed,False,none
T0000006,A00001,M00034,2025-04-01 09:27:00,24.28,EUR,Purchase,Completed,False,none
T0000007,A00012,M00001,2025-03-04 16:32:00,7.89,EUR,Refund,Completed,False,none
T0000008,A00030,M00048,2025-09-27 14:47:00,258.47,USD,Purchase,Declined,False,none
T0000009,A00022,M00039,2025-05-11 16:29:00,152.45,GBP,Purchase,Completed,False,none
T0000010,A00027,M00063,2025-10-11 17:15:00,43.98,GBP,Purchase,Completed,False,none
T0000011,A00075,M00012,2025-06-11 11:01:00,31.74,EUR,Purchase,Completed,False,none
T0000012,A00040,M00038,2025-05-25 19:10:00,23.9,EUR,Purchase,Completed,False,none
T0000013,A00069,M00038,2025-03-25 19:05:00,162.28,EUR,Purchase,Completed,False,none
T0000014,A00103,M00028,2025-08-29 20:22:00,138.92,EUR,Purchase,Completed,False,none
T0000015,A00067,M00034,2025-04-14 14:46:00,69.21,EUR,Purchase,Completed,False,none
T0000016,A00079,M00034,2025-11-28 21:20:00,94.02,EUR,Purchase,Completed,False,none
T0000017,A00042,M00049,2025-05-30 09:35:00,73.27,EUR,Purchase,Completed,False,none
T0000018,A00015,M00078,2025-10-25 10:11:00,33.56,EUR,Purchase,Completed,False,none
T0000019,A00040,M00040,2025-06-21 18:35:00,9.35,USD,Purchase,Completed,False,none
T0000020,A00113,M00003,2025-06-01 14:57:00,68.09,EUR,Purchase,Completed,False,none
T0000021,A00070,M00024,2025-06-15 09:18:00,27.74,USD,Purchase,Completed,False,none
T0000022,A00034,M00007,2025-06-11 20:28:00,35.47,GBP,Purchase,Completed,False,none
T0000023,A00050,M00057,2025-06-24 09:57:00,42.41,EUR,Purchase,Completed,False,none
T0000024,A00093,M00012,2025-11-20 21:36:00,43.27,EUR,Purchase,Completed,False,none
T0000025,A00076,M00001,2025-09-14 15:23:00,152.85,EUR,Purchase,Completed,False,none
T0000026,A00063,M00028,2025-01-13 12:07:00,170.68,EUR,Purchase,Completed,False,none
T0000027,A00101,M00051,2025-01-22 16:56:00,41.01,EUR,Purchase,Declined,False,none
T0000028,A00076,M00059,2025-01-09 15:36:00,89.41,EUR,Purchase,Completed,False,none
T0000029,A00073,M00006,2025-09-10 14:03:00,136.95,EUR,Purchase,Completed,False,none
T0000030,A00021,M00029,2025-03-17 13:33:00,301.38,EUR,Purchase,Completed,False,none
T0000031,A00008,M00031,2025-05-21 15:58:00,95.07,GBP,Purchase,Completed,False,none
T0000032,A00113,M00034,2025-10-30 20:55:00,153.91,EUR,Purchase,Completed,False,none
T0000033,A00067,M00034,2025-02-18 16:11:00,106.55,EUR,Purchase,Completed,False,none
T0000034,A00046,M00022,2025-02-25 19:24:00,12.75,EUR,Purchase,Completed,False,none
T0000035,A00067,M00018,2025-01-29 14:59:00,4.61,EUR,Purchase,Completed,False,none
T0000036,A00005,M00066,2025-04-15 18:46:00,126.22,EUR,Purchase,Completed,False,none
T0000037,A00092,M00045,2025-02-02 13:33:00,103.73,EUR,Purchase,Completed,False,none
T0000038,A00025,M00052,2025-08-18 14:18:00,251.51,EUR,Purchase,Completed,False,none
T0000039,A00089,M00018,2025-09-26 14:45:00,7.44,EUR,Purchase,Completed,False,none
T0000040,A00058,M00055,2025-03-09 13:34:00,324.38,GBP,Purchase,Completed,False,none
T0000041,A00034,M00013,2025-07-11 00:31:00,11.64,EUR,Purchase,Completed,False,none
T0000042,A00003,M00055,2025-04-21 19:55:00,24.38,GBP,Purchase,Declined,False,none
T0000043,A00091,M00057,2025-01-30 19:22:00,37.52,EUR,Purchase,Completed,False,none
T0000044,A00019,M00054,2025-06-20 22:37:00,191.75,EUR,Purchase,Completed,False,none
T0000045,A00004,M00070,2025-09-12 12:02:00,268.22,EUR,Purchase,Completed,False,none
T0000046,A00084,M00030,2025-03-25 17:42:00,241.72,EUR,Purchase,Completed,False,none
T0000047,A00041,M00073,2025-10-15 10:32:00,7.5,EUR,Purchase,Completed,False,none
T0000048,A00043,M00012,2025-12-29 11:52:00,43.83,EUR,Purchase,Completed,False,none
T0000049,A00030,M00032,2025-01-21 18:19:00,214.81,USD,Purchase,Completed,False,none
T0000050,A00097,M00006,2025-03-01 10:55:00,14.07,EUR,Purchase,Completed,False,none
T0000051,A00036,M00052,2025-04-16 09:34:00,46.64,EUR,Purchase,Completed,False,none
T0000052,A00023,M00023,2025-11-07 14:12:00,18.4,GBP,Purchase,Completed,False,none
T0000053,A00038,M00026,2025-02-21 16:09:00,145.08,EUR,Purchase,Completed,False,none
T0000054,A00022,M00034,2025-06-21 18:11:00,41.93,EUR,Purchase,Completed,False,none
T0000055,A00039,M00033,2025-07-16 08:18:00,132.73,EUR,Refund,Completed,False,none
